timestamp,outputRate,totalSent,elapsedMs
1782511514404,49593.33,250000,5041
1782511519409,49771.05,500000,10046
1782511524411,49840.51,750000,15048
1782511529414,49872.82,1000000,20051
1782511534416,49894.22,1250000,25053
1782511539418,49908.50,1500000,30055
1782511544421,49917.28,1750000,35058
1782511549423,49925.11,2000000,40060
1782511554424,49932.31,2250000,45061
1782511559426,49937.08,2500000,50063
1782511564428,49940.98,2750000,55065
1782511569430,49944.23,3000000,60067
1782511574432,49946.98,3250000,65069
1782511579433,49950.05,3500000,70070
1782511584435,49952.05,3750000,75072
1782511589436,49954.42,4000000,80073
1782511594438,49955.92,4250000,85075
1782511599439,49957.81,4500000,90076
1782511604441,49958.98,4750000,95078
1782511609442,49960.53,5000000,100079
1782511614444,49961.46,5250000,105081
1782511619445,49962.76,5500000,110082
1782511624446,49963.94,5750000,115083
1782511629448,49964.61,6000000,120085
1782511634449,55961.50,7000000,125086
1782511639451,61496.83,8000000,130088
1782511644452,66622.75,9000000,135089
1782511649454,71382.17,10000000,140091
1782511654455,75813.97,11000000,145092
1782511659457,79949.90,12000000,150094
1782511664458,83819.59,13000000,155095
1782511669460,87446.99,14000000,160097
1782511674462,90854.58,15000000,165099
1782511679463,89653.15,15250000,170100
1782511684464,88520.34,15500000,175101
1782511689466,87449.96,15750000,180103
1782511694467,86437.89,16000000,185104
1782511699469,85478.63,16250000,190106
1782511704470,84568.98,16500000,195107
1782511709472,83704.38,16750000,200109
1782511714473,82882.36,17000000,205110
1782511719474,82099.46,17250000,210111
1782511724476,81352.59,17500000,215113
1782511729477,80640.03,17750000,220114
1782511734478,79959.13,18000000,225115
1782511739480,82566.69,19000000,230117
1782511744481,85063.67,20000000,235118
1782511749482,87456.64,21000000,240119
1782511754483,89751.96,22000000,245120
1782511759485,91955.13,23000000,250122
1782511764486,93484.32,23850000,255123
1782511764900,93333.23,23850000,255536
