timestamp,topicOffset,sourceCount,kafkaLag,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors
1781905700894,59100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905708690,891912,328206,563706,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905716559,1653100,644953,1008147,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905724448,2397600,1945802,451798,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905732306,3152100,2870612,281488,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905740150,3908600,3639662,268938,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905748054,4660600,4514062,146538,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905755927,5396600,5317975,78625,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905763766,6162100,6097100,65000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905771815,6894600,6849100,45500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905779678,7359600,7335600,24000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905787667,7743600,7721100,22500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905795662,8127100,8106600,20500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905803622,8513100,8493040,20060,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905811656,8903100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905819700,9288600,9265100,23500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905827726,9674600,9646599,28001,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905835778,10129100,10069750,59350,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905843763,10689600,10631409,58191,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905851799,11323100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905859804,11967414,11912600,54814,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905867932,12608600,12552807,55793,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905875965,13248100,13190100,58000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905884007,13892037,13829104,62933,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905892120,14537100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905900272,15195600,15187600,8000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905908435,15850100,15827100,23000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905916691,16504600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905924831,17154600,17103238,51362,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905933102,17792338,17740514,51824,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905941238,18206575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905949499,18504575,18493942,10633,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905957690,18801575,18783575,18000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905965959,19100075,19074575,25500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905974219,19400075,19399575,500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905982480,19694075,19684733,9342,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905990706,19994075,19976075,18000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781905998956,20291886,20264575,27311,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906007247,20536049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906015455,20721287,20715787,5500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906023783,20871287,20861287,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906032075,21021787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906040463,21171787,21167162,4625,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906048794,21320787,21309666,11121,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906057240,21472287,21470787,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906065652,21623787,21615702,8085,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906074019,21774787,21760287,14500,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781906082458,22182787,22166162,16625,-1,-1,-1,-1,0.0965,46426.0,21618.4,27808.0,179
1781906090870,22731287,22687672,43615,-1,-1,-1,-1,0.0965,46426.0,21618.4,27808.0,179
1781906099271,23290787,23278287,12500,-1,-1,-1,-1,0.0965,46426.0,21618.4,27808.0,179
1781906107803,23834787,23798787,36000,-1,-1,-1,-1,0.0965,46426.0,21618.4,27808.0,179
1781906116335,23850000,23850000,0,-1,-1,-1,-1,0.02,0.0,0.0,-100.0,179
1781906124775,23850000,23850000,0,-1,-1,-1,-1,0.02,0.0,0.0,-100.0,179
