timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1787944456333,start,1,100000,120.0,0,4
1787944583025,start,2,225000,120.0,13153698,126696
1787944706057,start,3,100000,90.0,39812752,249728
1787944793917,start,4,300000,120.0,49838264,337588
1787944916933,start,5,100000,90.0,84912752,460604
1787945004828,start,6,375000,120.0,95672830,548499
1787945128117,start,7,100000,120.0,139012752,671788
