replica,host,auctionOffset,bidOffset,exitCode,termination,cleanupError
0,node0,574195,8803305,255,SIGTERM,
1,node0,574195,8803305,255,SIGTERM,
2,node0,574195,8803305,255,SIGTERM,
3,node0,574195,8803305,255,SIGTERM,
