timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1786657982527,start,1,100000,120.0,0,8
1786658116175,start,2,100000,5.0,13593940,133656
1786658116176,start,3,130000,5.0,13593940,133657
1786658127012,start,4,213000,5.0,17183052,144493
1786658127012,start,5,325000,5.0,17183052,144493
1786658127012,start,6,438000,5.0,17183052,144493
1786658137548,start,7,520000,5.0,22350156,155029
1786658137548,start,8,550000,5.0,22350156,155029
1786658148131,start,9,520000,5.0,27761052,165612
1786658148132,start,10,438000,5.0,27761052,165613
1786658158528,start,11,325000,5.0,30674170,176009
1786658158528,start,12,213000,5.0,30674170,176009
1786658169077,start,13,130000,5.0,32016628,186558
1786658169077,start,14,100000,60.0,32016628,186558
