timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1787939172445,start,1,100000,120.0,0,4
1787939299648,start,2,200000,60.0,13225512,127207
1787939361303,start,3,300000,60.0,26138264,188862
1787939422954,start,4,400000,60.0,45651024,250513
1787939475605,start,5,500000,60.0,67004895,303164
1787939537097,start,6,600000,60.0,97876528,364656
