timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1786643037578,8865000,140000,51285000,0
1786643038578,9005000,140000,51145000,0
1786643039578,9145000,140000,51005000,0
1786643040578,9285000,140000,50865000,0
1786643041578,9425000,140000,50725000,0
1786643042578,9565000,140000,50585000,0
1786643043579,9705000,140000,50445000,0
1786643044579,9845000,140000,50305000,0
1786643045579,9985000,140000,50165000,0
1786643046579,10125000,140000,50025000,0
1786643047579,10265000,140000,49885000,0
1786643048579,10405000,140000,49745000,0
1786643049579,10545000,140000,49605000,0
1786643050579,10700000,155000,49450000,0
1786643051579,10900000,200000,49250000,0
1786643052579,11100000,200000,49050000,0
1786643053579,11300000,200000,48850000,0
1786643054579,11500000,200000,48650000,0
1786643055579,11700000,200000,48450000,0
1786643056579,11900000,200000,48250000,0
1786643057579,12100000,200000,48050000,0
1786643058580,12300000,200000,47850000,0
1786643059580,12500000,200000,47650000,0
1786643060580,12700000,200000,47450000,0
1786643061580,12900000,200000,47250000,0
1786643062580,13100000,200000,47050000,0
1786643063580,13300000,200000,46850000,0
1786643064580,13500000,200000,46650000,0
1786643065580,13715000,215000,46435000,0
1786643066581,13975000,260000,46175000,0
1786643067581,14235000,260000,45915000,0
1786643068581,14495000,260000,45655000,0
1786643069581,14755000,260000,45395000,0
1786643070581,15015000,260000,45135000,0
1786643071581,15275000,260000,44875000,0
1786643072581,15535000,260000,44615000,0
1786643073581,15795000,260000,44355000,0
1786643074581,16055000,260000,44095000,0
1786643075581,16315000,260000,43835000,0
1786643076581,16575000,260000,43575000,0
1786643077581,16835000,260000,43315000,0
1786643078581,17095000,260000,43055000,0
1786643079581,17355000,260000,42795000,0
1786643080581,17632500,277500,42517500,0
1786643081581,17962500,330000,42187500,0
1786643082581,18292500,330000,41857500,0
1786643083582,18622500,330000,41527500,0
1786643084582,18952500,330000,41197500,0
1786643085582,19282500,330000,40867500,0
1786643086582,19612500,330000,40537500,0
1786643087582,19942500,330000,40207500,0
1786643088582,20272500,330000,39877500,0
