timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1786659006947,start,1,118180,120.0,0,8
1786659138810,start,2,118180,5.0,15577203,131871
1786659138811,start,3,153636,5.0,15577203,131872
1786659149341,start,4,251728,5.0,19282397,142402
1786659149342,start,5,384092,5.0,19282397,142403
1786659159865,start,6,517636,5.0,25087953,152926
1786659159865,start,7,614544,5.0,25087953,152926
1786659170314,start,8,650000,5.0,31743925,163375
1786659170314,start,9,614544,5.0,31743925,163375
1786659180919,start,10,517636,5.0,35745062,173980
1786659180919,start,11,384092,5.0,35745062,173980
1786659191553,start,12,251728,5.0,37601237,184614
1786659191553,start,13,153636,5.0,37601237,184614
1786659191554,start,14,118180,60.0,37601237,184615
