1781901404709,84948,Executor0,84948
1781901405707,439100,Executor0,439100
1781901406707,477073,Executor0,477073
1781901407707,483823,Executor0,483823
1781901408707,491545,Executor0,491545
1781901409707,499615,Executor0,499615
1781901410707,508644,Executor0,508644
1781901411707,522636,Executor0,522636
1781901412707,551671,Executor0,551671
1781901413707,659896,Executor0,659896
1781901414707,867600,Executor0,867600
1781901415707,915600,Executor0,915600
1781901416707,963600,Executor0,963600
1781901417707,1011600,Executor0,1011600
1781901418707,1059600,Executor0,1059600
1781901419707,1107600,Executor0,1107600
1781901420707,1154677,Executor0,1154677
1781901421707,1202600,Executor0,1202600
1781901422707,1250468,Executor0,1250468
1781901423707,1298600,Executor0,1298600
1781901424707,1346600,Executor0,1346600
1781901425707,1394584,Executor0,1394584
1781901426707,1442600,Executor0,1442600
1781901427707,1490600,Executor0,1490600
1781901428707,1539600,Executor0,1539600
1781901429707,1587600,Executor0,1587600
1781901430707,1635600,Executor0,1635600
1781901431707,1682600,Executor0,1682600
1781901432707,1730562,Executor0,1730562
1781901433707,1778600,Executor0,1778600
1781901434707,1826100,Executor0,1826100
1781901435707,1874100,Executor0,1874100
1781901436707,1921567,Executor0,1921567
1781901437707,1969600,Executor0,1969600
1781901438707,2022376,Executor0,2022376
1781901439707,2074054,Executor0,2074054
1781901440707,2157872,Executor0,2157872
1781901441707,2311970,Executor0,2311970
1781901442707,2585972,Executor0,2585972
1781901443707,2836195,Executor0,2836195
1781901444707,3068410,Executor0,3068410
1781901445707,3231100,Executor0,3231100
1781901446707,3400252,Executor0,3400252
1781901447707,3584491,Executor0,3584491
1781901448707,3753903,Executor0,3753903
1781901449707,3918069,Executor0,3918069
1781901450707,4027600,Executor0,4027600
1781901451707,4076100,Executor0,4076100
1781901452707,4124600,Executor0,4124600
1781901453707,4174100,Executor0,4174100
1781901454709,4222100,Executor0,4222100
1781901455707,4270100,Executor0,4270100
1781901456707,4318747,Executor0,4318747
1781901457707,4367600,Executor0,4367600
1781901458707,4415600,Executor0,4415600
1781901459707,4463600,Executor0,4463600
1781901460707,4511600,Executor0,4511600
1781901461707,4560100,Executor0,4560100
1781901462707,4609924,Executor0,4609924
1781901463707,4658100,Executor0,4658100
1781901464707,4706206,Executor0,4706206
1781901465707,4754432,Executor0,4754432
1781901466707,4802600,Executor0,4802600
1781901467707,4850100,Executor0,4850100
1781901468707,4898600,Executor0,4898600
1781901469707,4946969,Executor0,4946969
1781901470707,4994600,Executor0,4994600
1781901471707,5041308,Executor0,5041308
1781901472707,5088975,Executor0,5088975
1781901473707,5136539,Executor0,5136539
1781901474707,5185100,Executor0,5185100
1781901475707,5233100,Executor0,5233100
