timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784155368622,node2,kafka,0.0002,0,0,0,0,823408,0,0,0,0,7772753,2840625,250866176,12148171264
1784155369949,node2,kafka,0.0052,0,0,0,0,823408,0,0,0,0,7772802,2840633,250866176,12148171264
1784155371267,node2,kafka,0.0052,0,0,0,0,823408,0,0,0,0,7772851,2840638,250866176,12148171264
1784155372586,node2,kafka,0.0055,0,0,0,0,823408,0,0,0,0,7772915,2840645,250866176,12148941312
1784155373902,node2,kafka,0.0052,0,0,0,0,823408,0,0,0,0,7773028,2840653,250866176,12149002752
1784155375222,node2,kafka,0.0053,0,0,0,0,823408,0,0,0,0,7773075,2840657,250866176,12149002752
1784155376539,node2,kafka,0.0054,0,0,0,0,823408,0,0,0,0,7773118,2840661,250866176,12149002752
1784155377859,node2,kafka,0.0054,0,0,0,0,823408,0,0,0,0,7773160,2840669,250866176,12149002752
1784155379185,node2,kafka,0.0055,0,0,0,0,823408,0,0,0,0,7773219,2840675,250866176,12149088768
1784155380506,node2,kafka,0.0054,0,0,0,0,823408,0,0,0,0,7773281,2840679,250866176,12149088768
1784155381828,node2,kafka,0.0057,0,0,0,0,823408,0,0,0,0,7773353,2840687,250866176,12149088768
1784155383155,node2,kafka,0.0053,0,0,0,0,823408,0,0,0,0,7773393,2840691,250866176,12149088768
1784155384479,node2,kafka,0.0051,0,0,0,0,823408,0,0,0,0,7773436,2840697,250866176,12149162496
1784155385798,node2,kafka,0.0097,0,0,0,0,825776,0,0,0,0,7773546,2840777,250866176,12149424640
1784155387121,node2,kafka,0.0055,0,0,0,0,825776,0,0,0,0,7773599,2840785,250866176,12149424640
1784155388442,node2,kafka,0.0068,0,0,0,0,826292,0,0,0,0,7773664,2840823,250866176,12149604864
1784155389768,node2,kafka,0.0075,0,0,0,0,828488,0,0,0,0,7773725,2840840,250866176,12149608960
1784155391081,node2,kafka,0.0053,0,0,0,0,828488,0,0,0,0,7773815,2840849,250866176,12149608960
1784155392400,node2,kafka,0.0051,0,0,0,0,828488,0,0,0,0,7773890,2840853,250866176,12149608960
1784155393724,node2,kafka,0.0054,0,0,0,0,824160,0,0,0,0,7773938,2840857,250866176,12149920256
1784155395050,node2,kafka,0.0057,0,0,0,0,824160,0,0,0,0,7774053,2840868,250866176,12149924352
1784155396367,node2,kafka,0.0053,0,0,0,0,824160,0,0,0,0,7774093,2840873,250866176,12149924352
1784155397684,node2,kafka,0.0053,0,0,0,0,824160,0,0,0,0,7774181,2840877,250866176,12149924352
1784155398999,node2,kafka,0.0056,0,0,0,0,824160,0,0,0,0,7774260,2840885,250866176,12150030848
1784155400318,node2,kafka,0.0053,0,0,0,0,824160,0,0,0,0,7774317,2840893,250866176,12150034944
1784155401637,node2,kafka,0.0060,0,0,0,0,824160,0,0,0,0,7774369,2840897,250866176,12150034944
1784155402963,node2,kafka,0.0055,0,0,0,0,824160,0,0,0,0,7774436,2840905,250866176,12150034944
1784155404282,node2,kafka,0.0053,0,0,0,0,824160,0,0,0,0,7774521,2840909,250866176,12150108672
1784155405590,node2,kafka,0.0056,0,0,0,0,824160,0,0,0,0,7774568,2840914,250866176,12150112768
1784155406911,node2,kafka,0.0054,0,0,0,0,824160,0,0,0,0,7774633,2840924,250866176,12150112768
1784155408237,node2,kafka,0.0054,0,0,0,0,824160,0,0,0,0,7774684,2840929,250866176,12150112768
1784155409550,node2,kafka,0.0049,0,0,0,0,824160,0,0,0,0,7774737,2840933,250866176,12150211072
1784155410869,node2,kafka,0.0057,0,0,0,0,824160,0,0,0,0,7774782,2840941,250866176,12150215168
1784155412193,node2,kafka,0.0055,0,0,0,0,824160,0,0,0,0,7774841,2840947,250866176,12150325760
1784155413513,node2,kafka,0.0051,0,0,0,0,824160,0,0,0,0,7774903,2840951,250866176,12150379008
1784155414832,node2,kafka,0.0054,0,0,0,0,824160,0,0,0,0,7774978,2840959,250866176,12150403584
1784155416159,node2,kafka,0.0054,0,0,0,0,824160,0,0,0,0,7775092,2840963,250866176,12150407680
