timestamp,jobId,executorId,executorType,containerId,requestedHost,physicalHost,placementPassed
1784664068446,q6-source8g-20260721-1959,Executor2,Compute,container_1784663909674_0001_01_000004,node10-link-1,node10-link-1,true
1784664069424,q6-source8g-20260721-1959,Executor1,Compute,container_1784663909674_0001_01_000003,node9-link-1,node9-link-1,true
1784664069429,q6-source8g-20260721-1959,Executor4,Compute,container_1784663909674_0001_01_000006,node12-link-1,node12-link-1,true
1784664069468,q6-source8g-20260721-1959,Executor3,Compute,container_1784663909674_0001_01_000005,node11-link-1,node11-link-1,true
1784664069686,q6-source8g-20260721-1959,Executor0,Source,container_1784663909674_0001_01_000002,node5-link-1,node5-link-1,true
