timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784137792904,node6,offload,0.0002,0,0,0,0,0,0,0,0,0,5626468,510702,253364736,14535852544
1784137794225,node6,offload,0.0051,0,0,0,0,0,0,0,0,0,5626551,510702,253364736,14535852544
1784137795541,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5626613,510703,253364736,14535852544
1784137796854,node6,offload,0.0054,0,0,0,0,0,0,0,0,0,5626690,510703,253364736,14536843776
1784137798171,node6,offload,0.0053,0,0,0,0,0,0,0,0,0,5626741,510703,253364736,14536962560
1784137799485,node6,offload,0.0053,0,0,0,0,0,0,0,0,0,5626827,510703,253364736,14536962560
1784137800801,node6,offload,0.0048,0,0,0,0,0,0,0,0,0,5626874,510703,253364736,14536962560
1784137802114,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5626949,510703,253364736,14536962560
1784137803429,node6,offload,0.0048,0,0,0,0,0,0,0,0,0,5626986,510703,253364736,14537081344
1784137804744,node6,offload,0.0048,0,0,0,0,0,0,0,0,0,5627024,510703,253364736,14537081344
1784137806054,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5627183,510703,253364736,14537081344
1784137807366,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5627253,510703,253364736,14537081344
1784137808679,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5627327,510703,253364736,14537085440
1784137809988,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5627361,510704,253364736,14537097728
1784137811309,node6,offload,0.0053,0,0,0,0,0,0,0,0,0,5627407,510704,253364736,14537097728
1784137812628,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5627439,510705,253364736,14537097728
1784137813946,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5627474,510705,253364736,14537101824
1784137815254,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5627508,510705,253364736,14537101824
1784137816573,node6,offload,0.0053,0,0,0,0,0,0,0,0,0,5627555,510706,253364736,14537114112
1784137817891,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5627614,510706,253364736,14537114112
1784137819209,node6,offload,0.0083,0,0,0,0,0,0,0,0,0,5627750,510744,253364736,14537118208
1784137820523,node6,offload,0.0061,0,0,0,0,0,0,0,0,0,5627811,510761,253364736,14537118208
1784137821840,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5627844,510761,253364736,14537163264
1784137823155,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5627883,510762,253364736,14537163264
1784137824469,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5627956,510763,253364736,14537921024
1784137825780,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5628007,510763,253364736,14537921024
1784137827096,node6,offload,0.0054,0,0,0,0,0,0,0,0,0,5628049,510763,253364736,14537953792
1784137828413,node6,offload,0.0047,0,0,0,0,0,0,0,0,0,5628098,510763,253364736,14537966080
1784137829727,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5628164,510763,253364736,14537970176
1784137831029,node6,offload,0.0051,0,0,0,0,0,0,0,0,0,5628245,510764,253364736,14537970176
1784137832345,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5628284,510764,253364736,14537970176
1784137833651,node6,offload,0.0051,0,0,0,0,0,0,0,0,0,5628387,510764,253364736,14537970176
1784137834957,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5628428,510764,253364736,14537986560
1784137836273,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5628481,510766,253364736,14537986560
1784137837589,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5628542,510766,253364736,14537986560
1784137838901,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5628599,510766,253364736,14537986560
1784137840214,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5628640,510768,253364736,14537990656
1784137841528,node6,offload,0.0057,0,0,0,0,0,0,0,0,0,5628682,510768,253364736,14538002944
1784137842847,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5628729,510768,253364736,14538002944
1784137844160,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5628862,510768,253364736,14538002944
1784137845477,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5628887,510769,253364736,14538007040
1784137846793,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5628919,510770,253364736,14538007040
1784137848108,node6,offload,0.0048,0,0,0,0,0,0,0,0,0,5628954,510770,253364736,14538019328
1784137849426,node6,offload,0.0047,0,0,0,0,0,0,0,0,0,5628978,510770,253364736,14538019328
1784137850737,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5629040,510770,253364736,14538023424
1784137852050,node6,offload,0.0057,0,0,0,0,0,0,0,0,0,5629083,510771,253364736,14538023424
1784137853365,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5629136,510771,253364736,14538023424
1784137854681,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5629168,510771,253364736,14538048000
1784137855993,node6,offload,0.0053,0,0,0,0,0,0,0,0,0,5629205,510771,253364736,14538056192
1784137857304,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5629242,510771,253364736,14538056192
1784137858621,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5629286,510771,253364736,14538056192
1784137859933,node6,offload,0.0052,0,0,0,0,0,0,0,0,0,5629318,510771,253364736,14538076672
1784137861244,node6,offload,0.0053,0,0,0,0,0,0,0,0,0,5629351,510771,253364736,14538080768
1784137862565,node6,offload,0.0055,0,0,0,0,0,0,0,0,0,5629381,510773,253364736,14538080768
1784137863880,node6,offload,0.0049,0,0,0,0,0,0,0,0,0,5629420,510773,253364736,14538080768
1784137865192,node6,offload,0.0050,0,0,0,0,0,0,0,0,0,5629451,510773,253364736,14538080768
