timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784137797534,node13,offload,0.0000,0,0,0,0,0,0,0,0,0,6738110,1475126,253192704,16152822272
1784137798858,node13,offload,0.0049,0,0,0,0,0,0,0,0,0,6738179,1475126,253192704,16152822272
1784137800176,node13,offload,0.0056,0,0,0,0,0,0,0,0,0,6738238,1475127,253192704,16152822272
1784137801491,node13,offload,0.0052,0,0,0,0,0,0,0,0,0,6738287,1475128,253192704,16152834560
1784137802809,node13,offload,0.0049,0,0,0,0,0,0,0,0,0,6738360,1475129,253192704,16152928768
1784137804125,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6738402,1475129,253192704,16152928768
1784137805438,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6738473,1475130,253192704,16152928768
1784137806755,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6738617,1475130,253192704,16154731008
1784137808074,node13,offload,0.0051,0,0,0,0,0,0,0,0,0,6738699,1475130,253192704,16154837504
1784137809380,node13,offload,0.0049,0,0,0,0,0,0,0,0,0,6738733,1475130,253192704,16154837504
1784137810699,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6738769,1475130,253192704,16154837504
1784137812012,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6738809,1475130,253192704,16154837504
1784137813329,node13,offload,0.0047,0,0,0,0,0,0,0,0,0,6738848,1475130,253192704,16154849792
1784137814646,node13,offload,0.0049,0,0,0,0,0,0,0,0,0,6738874,1475130,253192704,16154862080
1784137815960,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6738929,1475130,253192704,16154862080
1784137817282,node13,offload,0.0054,0,0,0,0,0,0,0,0,0,6738971,1475135,253192704,16154862080
1784137818590,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6739096,1475142,253192704,16154886656
1784137819902,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6739143,1475143,253192704,16154890752
1784137821213,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6739179,1475143,253192704,16154890752
1784137822528,node13,offload,0.0052,0,0,0,0,0,0,0,0,0,6739206,1475143,253192704,16155038208
1784137823831,node13,offload,0.0056,0,0,0,0,0,0,0,0,0,6739285,1475143,253192704,16155075072
1784137825149,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6739326,1475143,253192704,16155075072
1784137826461,node13,offload,0.0048,0,0,0,0,0,0,0,0,0,6739377,1475143,253192704,16155075072
1784137827779,node13,offload,0.0077,0,0,0,0,0,0,0,0,0,6739470,1475178,253192704,16155107840
1784137829091,node13,offload,0.0065,0,0,0,0,0,0,0,0,0,6739543,1475197,253192704,16155116032
1784137830403,node13,offload,0.0049,0,0,0,0,0,0,0,0,0,6739606,1475197,253192704,16155116032
1784137831719,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6739665,1475198,253192704,16155116032
1784137833034,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6739718,1475198,253192704,16155877888
1784137834346,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6739815,1475198,253192704,16155931136
1784137835664,node13,offload,0.0054,0,0,0,0,0,0,0,0,0,6739837,1475198,253192704,16155931136
1784137836983,node13,offload,0.0049,0,0,0,0,0,0,0,0,0,6739907,1475199,253192704,16155931136
1784137838298,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6739982,1475199,253192704,16155931136
1784137839607,node13,offload,0.0052,0,0,0,0,0,0,0,0,0,6740024,1475200,253192704,16155984384
1784137840926,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6740059,1475200,253192704,16155984384
1784137842237,node13,offload,0.0054,0,0,0,0,0,0,0,0,0,6740105,1475200,253192704,16155984384
1784137843551,node13,offload,0.0050,0,0,0,0,0,0,0,0,0,6740244,1475200,253192704,16155984384
1784137844865,node13,offload,0.0052,0,0,0,0,0,0,0,0,0,6740267,1475200,253192704,16155988480
1784137846178,node13,offload,0.0052,0,0,0,0,0,0,0,0,0,6740293,1475200,253192704,16156000768
1784137847489,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6740332,1475200,253192704,16156000768
1784137848806,node13,offload,0.0060,0,0,0,0,0,0,0,0,0,6740369,1475210,253192704,16156000768
1784137850122,node13,offload,0.0053,0,0,0,0,0,0,0,0,0,6740415,1475214,253192704,16156004864
