timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784137795610,node10,compute,0.0004,0,238280,0,0,0,0,0,0,0,6586161,2196761,252643840,18119377408
1784137796934,node10,compute,0.0057,0,238280,0,0,0,0,0,0,0,6586250,2196763,252643840,18119377408
1784137798243,node10,compute,0.0049,0,238280,0,0,0,0,0,0,0,6586296,2196765,252643840,18119594496
1784137799562,node10,compute,0.0053,0,238280,0,0,0,0,0,0,0,6586381,2196770,252643840,18119594496
1784137800883,node10,compute,0.0053,0,238280,0,0,0,0,0,0,0,6586432,2196772,252643840,18120184320
1784137802196,node10,compute,0.0056,0,238280,0,0,0,0,0,0,0,6586509,2196774,252643840,18120184320
1784137803502,node10,compute,0.0052,0,238280,0,0,0,0,0,0,0,6586545,2196778,252643840,18120208896
1784137804815,node10,compute,0.0054,0,238280,0,0,0,0,0,0,0,6586585,2196780,252643840,18120208896
1784137806122,node10,compute,0.0063,0,238280,0,0,0,0,0,0,0,6586766,2196783,252643840,18120212992
1784137807432,node10,compute,0.0050,0,238280,0,0,0,0,0,0,0,6586817,2196785,252643840,18120212992
1784137808739,node10,compute,0.0049,0,238280,0,0,0,0,0,0,0,6586892,2196789,252643840,18120237568
1784137810058,node10,compute,0.0056,0,238280,0,0,0,0,0,0,0,6586926,2196791,252643840,18120237568
1784137811374,node10,compute,0.0054,0,238280,0,0,0,0,0,0,0,6586970,2196793,252643840,18120241664
1784137812693,node10,compute,0.0053,0,238280,0,0,0,0,0,0,0,6587008,2196797,252643840,18120249856
1784137814008,node10,compute,0.0049,0,238544,0,0,0,0,0,0,0,6587041,2196799,252643840,18120266240
1784137815326,node10,compute,0.0053,0,238544,0,0,0,0,0,0,0,6587077,2196801,252643840,18120266240
1784137816635,node10,compute,0.0052,0,238544,0,0,0,0,0,0,0,6587126,2196805,252643840,18120270336
1784137817949,node10,compute,0.0050,0,238544,0,0,0,0,0,0,0,6587185,2196808,252643840,18120282624
1784137819268,node10,compute,0.0050,0,238764,0,0,0,0,0,0,0,6587285,2196810,252643840,18120299008
1784137820587,node10,compute,0.0054,0,238764,0,0,0,0,0,0,0,6587336,2196814,252643840,18120299008
1784137821900,node10,compute,0.0054,0,238764,0,0,0,0,0,0,0,6587371,2196817,252643840,18120303104
1784137823210,node10,compute,0.0059,0,238764,0,0,0,0,0,0,0,6587418,2196826,252643840,18120311296
1784137824522,node10,compute,0.0103,0,238764,0,0,0,0,0,0,0,6587534,2196878,252643840,18120311296
1784137825837,node10,compute,0.0052,0,238764,0,0,0,0,0,0,0,6587584,2196881,252643840,18120356352
1784137827154,node10,compute,0.0056,0,238764,0,0,0,0,0,0,0,6587631,2196883,252643840,18120360448
1784137828469,node10,compute,0.0060,0,238764,0,0,0,0,0,0,0,6587684,2196885,252643840,18120368640
1784137829782,node10,compute,0.0053,0,238764,0,0,0,0,0,0,0,6587749,2196889,252643840,18121273856
