timestamp,jobId,taskId,idleTimeNs,kafkaQueueTimeNs,kafkaQueueTimeAvgNs,kafkaQueueTimeMaxNs,kafkaQueueSamples,inputRate,recordsRead
1781923210789,unknown,Stage0-0-0,0,0,656222222,1239000000,9,1954.81,9950
1781923210809,unknown,Stage0-2-0,0,0,676666666,1211000000,9,1960.59,9950
1781923210809,unknown,Stage0-3-0,0,0,675888888,1214000000,9,1969.91,9950
1781923210850,unknown,Stage0-1-0,0,0,689333333,1157000000,9,1968.68,9993
1781923215982,unknown,Stage0-2-0,0,0,596153846,1692000000,78,14996.13,87525
1781923215981,unknown,Stage0-3-0,0,0,607589743,1733000000,78,14999.03,87525
1781923215981,unknown,Stage0-1-0,0,0,627461538,1756000000,78,15111.28,87529
1781923215982,unknown,Stage0-0-0,0,0,619051282,1729000000,78,14938.38,87525
1781923220981,unknown,Stage0-3-0,0,0,210000000,591000000,63,12500.00,150025
1781923220981,unknown,Stage0-1-0,0,0,219650793,591000000,63,12500.00,150029
1781923220982,unknown,Stage0-0-0,0,0,231380952,689000000,63,12528.40,150167
1781923220982,unknown,Stage0-2-0,0,0,213349206,610000000,63,12528.20,150166
1781923225982,unknown,Stage0-2-0,0,0,322983870,736000000,62,12472.40,212528
1781923225981,unknown,Stage0-1-0,0,0,339661290,774000000,62,12500.00,212529
1781923225981,unknown,Stage0-3-0,0,0,313500000,688000000,62,12500.00,212525
1781923225982,unknown,Stage0-0-0,0,0,334693548,774000000,62,12471.60,212525
1781923230983,unknown,Stage0-3-0,0,0,337777777,778000000,63,12495.00,275025
1781923230983,unknown,Stage0-1-0,0,0,325142857,798000000,63,12494.80,275028
1781923230983,unknown,Stage0-0-0,0,0,320952380,777000000,63,12497.50,275025
1781923230983,unknown,Stage0-2-0,0,0,304412698,718000000,63,12497.10,275026
1781923235983,unknown,Stage0-2-0,0,0,319209677,752000000,62,12499.80,337525
1781923235983,unknown,Stage0-1-0,0,0,330387096,773000000,62,12500.20,337529
1781923235983,unknown,Stage0-0-0,0,0,319741935,770000000,62,12500.00,337525
1781923235983,unknown,Stage0-3-0,0,0,316854838,748000000,62,12500.00,337525
1781923240983,unknown,Stage0-3-0,0,0,325000000,743000000,63,12500.00,400025
1781923240983,unknown,Stage0-2-0,0,0,329698412,739000000,63,12500.00,400025
1781923240983,unknown,Stage0-1-0,0,0,334428571,840000000,63,12500.00,400029
1781923240983,unknown,Stage0-0-0,0,0,323253968,758000000,63,12500.00,400025
1781923245983,unknown,Stage0-2-0,0,0,331483870,791000000,62,12500.20,462526
1781923245983,unknown,Stage0-3-0,0,0,333241935,767000000,62,12500.00,462525
1781923245983,unknown,Stage0-1-0,0,0,326403225,791000000,62,12500.00,462529
1781923245983,unknown,Stage0-0-0,0,0,337693548,749000000,62,12499.80,462524
1781923250984,unknown,Stage0-3-0,0,0,330047619,731000000,63,12497.50,525025
1781923250984,unknown,Stage0-2-0,0,0,323095238,768000000,63,12497.50,525026
1781923250984,unknown,Stage0-1-0,0,0,353857142,771000000,63,12497.30,525028
1781923250984,unknown,Stage0-0-0,0,0,329000000,769000000,63,12497.70,525025
1781923255984,unknown,Stage0-1-0,0,0,335145161,787000000,62,12500.20,587529
1781923255984,unknown,Stage0-2-0,0,0,338758064,789000000,62,12499.80,587525
1781923255984,unknown,Stage0-3-0,0,0,326645161,726000000,62,12500.00,587525
1781923255984,unknown,Stage0-0-0,0,0,334596774,789000000,62,12500.00,587525
1781923260984,unknown,Stage0-1-0,0,0,347349206,803000000,63,12500.00,650029
1781923260984,unknown,Stage0-3-0,0,0,327349206,783000000,63,12500.00,650025
1781923260984,unknown,Stage0-2-0,0,0,330047619,781000000,63,12500.00,650025
1781923260984,unknown,Stage0-0-0,0,0,328523809,772000000,63,12500.00,650025
1781923265984,unknown,Stage0-1-0,0,0,349403225,794000000,62,12532.00,712689
1781923265984,unknown,Stage0-3-0,0,0,330709677,740000000,62,12530.80,712679
1781923265984,unknown,Stage0-0-0,0,0,344967741,799000000,62,12527.40,712662
1781923265984,unknown,Stage0-2-0,0,0,328532258,733000000,62,12530.00,712675
1781923270984,unknown,Stage0-2-0,0,0,334492063,794000000,63,12470.20,775026
1781923270984,unknown,Stage0-3-0,0,0,323539682,788000000,63,12469.20,775025
1781923270985,unknown,Stage0-0-0,0,0,336904761,799000000,63,12470.11,775025
1781923270985,unknown,Stage0-1-0,0,0,337634920,801000000,63,12465.31,775028
1781923275987,unknown,Stage0-3-0,0,0,341500000,752000000,62,12492.50,837525
1781923275987,unknown,Stage0-1-0,0,0,334241935,798000000,62,12495.20,837529
1781923275987,unknown,Stage0-2-0,0,0,325387096,738000000,62,12492.30,837525
1781923275988,unknown,Stage0-0-0,0,0,349419354,771000000,62,12492.50,837525
1781923280988,unknown,Stage0-3-0,0,0,339476190,741000000,63,12497.50,900025
1781923280989,unknown,Stage0-2-0,0,0,343412698,778000000,63,12495.00,900025
1781923280989,unknown,Stage0-1-0,0,0,339936507,796000000,63,12495.00,900029
1781923280989,unknown,Stage0-0-0,0,0,348619047,819000000,63,12497.50,900025
1781923285989,unknown,Stage0-3-0,0,0,329903225,719000000,62,12497.50,962525
1781923285989,unknown,Stage0-0-0,0,0,351483870,784000000,62,12499.80,962524
1781923285989,unknown,Stage0-1-0,0,0,352096774,739000000,62,12500.00,962529
1781923285990,unknown,Stage0-2-0,0,0,357354838,768000000,62,12497.70,962526
1781923290989,unknown,Stage0-1-0,0,0,337587301,791000000,63,12510.40,1025081
1781923290990,unknown,Stage0-2-0,0,0,328920634,779000000,63,12528.00,1025166
1781923290991,unknown,Stage0-3-0,0,0,332952380,779000000,63,12495.00,1025025
1781923290991,unknown,Stage0-0-0,0,0,349190476,809000000,63,12495.20,1025025
1781923295990,unknown,Stage0-1-0,0,0,358403225,760000000,62,12487.10,1087529
1781923295990,unknown,Stage0-2-0,0,0,358112903,760000000,62,12471.80,1087525
1781923295991,unknown,Stage0-0-0,0,0,327822580,779000000,62,12517.80,1087614
1781923295991,unknown,Stage0-3-0,0,0,347258064,740000000,62,12535.60,1087703
1781923300990,unknown,Stage0-2-0,0,0,334777777,759000000,63,12529.00,1150170
