timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1785282232599,start,1,20000,100.0,0,9
1785282343689,start,2,100000,150.0,3000260,111099
1785282486461,start,3,200000,150.0,17403566,253871
