timestamp,totalEvents,deltaEvents,remainingEvents,baselineOffsetTotal
1785282375579,6212500,100000,40787500,0
1785282376579,6312500,100000,40687500,0
1785282377579,6412500,100000,40587500,0
1785282378579,6512500,100000,40487500,0
1785282379579,6612500,100000,40387500,0
1785282380579,6712500,100000,40287500,0
1785282381579,6812500,100000,40187500,0
1785282382579,6912500,100000,40087500,0
1785282383579,7012500,100000,39987500,0
1785282384579,7112500,100000,39887500,0
1785282385579,7212500,100000,39787500,0
1785282386579,7312500,100000,39687500,0
1785282387579,7412500,100000,39587500,0
1785282388579,7512500,100000,39487500,0
1785282389579,7612500,100000,39387500,0
1785282390579,7712500,100000,39287500,0
1785282391579,7812500,100000,39187500,0
1785282392579,7912500,100000,39087500,0
1785282393579,8012500,100000,38987500,0
1785282394579,8112500,100000,38887500,0
1785282395579,8212500,100000,38787500,0
1785282396579,8312500,100000,38687500,0
1785282397579,8412500,100000,38587500,0
1785282398579,8512500,100000,38487500,0
1785282399579,8612500,100000,38387500,0
1785282400579,8712500,100000,38287500,0
1785282401579,8812500,100000,38187500,0
1785282402579,8912500,100000,38087500,0
1785282403579,9012500,100000,37987500,0
1785282404579,9112500,100000,37887500,0
1785282405579,9212500,100000,37787500,0
1785282406579,9312500,100000,37687500,0
1785282407579,9412500,100000,37587500,0
1785282408579,9512500,100000,37487500,0
1785282409579,9612500,100000,37387500,0
1785282410579,9712500,100000,37287500,0
1785282411579,9812500,100000,37187500,0
1785282412579,9912500,100000,37087500,0
1785282413579,10012500,100000,36987500,0
1785282414579,10112500,100000,36887500,0
1785282415579,10212500,100000,36787500,0
1785282416579,10312500,100000,36687500,0
1785282417579,10412500,100000,36587500,0
1785282418580,10512500,100000,36487500,0
1785282419580,10612500,100000,36387500,0
1785282420580,10712500,100000,36287500,0
1785282421580,10812500,100000,36187500,0
1785282422580,10912500,100000,36087500,0
1785282423580,11012500,100000,35987500,0
1785282424580,11112500,100000,35887500,0
1785282425580,11212500,100000,35787500,0
1785282426580,11312500,100000,35687500,0
1785282427580,11412500,100000,35587500,0
1785282428580,11512500,100000,35487500,0
1785282429580,11612500,100000,35387500,0
1785282430580,11712500,100000,35287500,0
1785282431580,11812500,100000,35187500,0
1785282432581,11912500,100000,35087500,0
1785282433581,12012500,100000,34987500,0
1785282434581,12112500,100000,34887500,0
1785282435581,12212500,100000,34787500,0
1785282436581,12312500,100000,34687500,0
1785282437581,12412500,100000,34587500,0
1785282438581,12512500,100000,34487500,0
1785282439581,12612500,100000,34387500,0
1785282440582,12712500,100000,34287500,0
1785282441582,12812500,100000,34187500,0
1785282442582,12912500,100000,34087500,0
1785282443582,13012500,100000,33987500,0
1785282444582,13112500,100000,33887500,0
1785282445582,13212500,100000,33787500,0
1785282446582,13312500,100000,33687500,0
1785282447582,13412500,100000,33587500,0
1785282448582,13512500,100000,33487500,0
1785282449582,13612500,100000,33387500,0
1785282450582,13712500,100000,33287500,0
1785282451583,13812500,100000,33187500,0
1785282452583,13912500,100000,33087500,0
1785282453583,14012500,100000,32987500,0
1785282454583,14112500,100000,32887500,0
1785282455583,14212500,100000,32787500,0
1785282456583,14312500,100000,32687500,0
1785282457583,14412500,100000,32587500,0
1785282458583,14512500,100000,32487500,0
1785282459583,14612500,100000,32387500,0
1785282460583,14712500,100000,32287500,0
1785282461583,14812500,100000,32187500,0
1785282462583,14912500,100000,32087500,0
1785282463583,15012500,100000,31987500,0
1785282464583,15112500,100000,31887500,0
1785282465583,15212500,100000,31787500,0
1785282466583,15312500,100000,31687500,0
1785282467583,15412500,100000,31587500,0
1785282468584,15512500,100000,31487500,0
1785282469584,15612500,100000,31387500,0
1785282470584,15712500,100000,31287500,0
1785282471584,15812500,100000,31187500,0
1785282472584,15912500,100000,31087500,0
1785282473584,16012500,100000,30987500,0
1785282474584,16112500,100000,30887500,0
1785282475584,16212500,100000,30787500,0
1785282476584,16312500,100000,30687500,0
1785282477584,16412500,100000,30587500,0
1785282478585,16512500,100000,30487500,0
1785282479585,16612500,100000,30387500,0
1785282480585,16712500,100000,30287500,0
1785282481585,16812500,100000,30187500,0
1785282482585,16912500,100000,30087500,0
1785282483585,17025000,112500,29975000,0
1785282484585,17225000,200000,29775000,0
1785282485586,17425000,200000,29575000,0
1785282486586,17625000,200000,29375000,0
1785282487586,17825000,200000,29175000,0
1785282488586,18025000,200000,28975000,0
1785282489586,18225000,200000,28775000,0
1785282490586,18425000,200000,28575000,0
1785282491586,18625000,200000,28375000,0
1785282492586,18825000,200000,28175000,0
1785282493587,19025000,200000,27975000,0
1785282494587,19225000,200000,27775000,0
1785282495587,19425000,200000,27575000,0
1785282496587,19625000,200000,27375000,0
1785282497588,19825000,200000,27175000,0
1785282498588,20025000,200000,26975000,0
1785282499588,20225000,200000,26775000,0
1785282500588,20425000,200000,26575000,0
1785282501588,20625000,200000,26375000,0
1785282502588,20825000,200000,26175000,0
1785282503588,21025000,200000,25975000,0
1785282504588,21225000,200000,25775000,0
1785282505588,21425000,200000,25575000,0
1785282506588,21625000,200000,25375000,0
