timestamp,jobId,executorId,executorType,containerId,requestedHost,physicalHost,placementPassed
1784155471576,q6-formal-delayed-20260715T224242Z,Executor3,Compute,container_1784154419515_0001_01_000005,node11-link-1,node11-link-1,true
1784155472514,q6-formal-delayed-20260715T224242Z,Executor2,Compute,container_1784154419515_0001_01_000004,node10-link-1,node10-link-1,true
1784155472575,q6-formal-delayed-20260715T224242Z,Executor0,Source,container_1784154419515_0001_01_000002,node5-link-1,node5-link-1,true
1784155472610,q6-formal-delayed-20260715T224242Z,Executor4,Compute,container_1784154419515_0001_01_000006,node12-link-1,node12-link-1,true
1784155472654,q6-formal-delayed-20260715T224242Z,Executor1,Compute,container_1784154419515_0001_01_000003,node9-link-1,node9-link-1,true
