timestamp,topicOffset,sourceCount,kafkaLag,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors
1781909431796,39100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909439643,39450000,445280,39004720,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909447402,39850000,656906,39193094,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909455330,40250000,1493562,38756438,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909463330,40650000,1954865,38695135,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909471290,41050000,2407062,38642938,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909479239,41450000,2864145,38585855,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909487194,41850000,3322062,38527938,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909495215,42250000,3782562,38467438,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909503134,42650000,4239231,38410769,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909511106,43050000,4698563,38351437,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909519103,43450000,5155062,38294938,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909527038,43850000,5614580,38235420,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909534966,44250000,6072262,38177738,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909542934,44650000,6533562,38116438,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909550954,45200000,6989562,38210438,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909558986,46800000,8244070,38555930,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909567074,48400000,9586677,38813323,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909575162,50000000,10800300,39199700,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909583182,51600000,12332111,39267889,-1,-1,-1,-1,-1,-1,-1,-1,-1
1781909591310,53200000,13437685,39762315,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909599314,54200000,14590998,39609002,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909607378,54600000,15228214,39371786,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909615506,55000000,15741629,39258371,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909623615,55400000,16195072,39204928,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909631679,55800000,16648714,39151286,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909639779,56250000,17102200,39147800,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909647926,56650000,17550685,39099315,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909656046,57200000,18008938,39191062,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909664186,58800000,19948396,38851604,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909672411,60400000,21645883,38754117,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909680587,62189333,23479105,38710228,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909688974,63800000,25137990,38662010,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909697171,65400000,26782299,38617701,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909705470,66250000,28525730,37724270,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909713739,66700000,29011730,37688270,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909721960,67100000,29466861,37633139,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909730262,67500000,29926730,37573270,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909738518,67900000,30432338,37467662,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909746790,68350000,30887387,37462613,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909755210,68750000,31342730,37407270,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909763650,69600000,32355574,37244426,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909771939,71400000,33955916,37444084,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909780255,73000000,35911993,37088007,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909789119,74800000,37584937,37215063,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909797687,76410990,39543901,36867089,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
1781909806074,78000000,41264124,36735876,-1,-1,-1,-1,0.3355,200000.0,142812.8,228542.0,179
