timestamp,outputRate,totalSent,elapsedMs
1782569578510,16689.85,84000,5033
1782569583514,17933.65,180000,10037
1782569588516,18551.77,279000,15039
1782569593519,18760.60,376000,20042
1782569598522,18905.97,473500,25045
1782569603524,19036.84,572000,30047
1782569608525,19073.84,668500,35048
1782569613527,19176.03,768000,40050
1782569618529,19180.77,864132,45052
1782569623532,19258.82,964000,50055
1782569628534,19270.97,1061002,55057
1782569633536,19314.34,1160000,60059
1782569638537,19336.00,1258000,65060
1782569643539,19368.56,1357000,70062
1782569648541,19396.78,1456000,75064
1782569653543,19396.50,1553000,80066
1782569658545,19419.76,1652000,85068
1782569663547,19418.23,1749000,90070
1782569668548,19438.10,1848000,95071
1782569673550,19440.81,1945500,100073
1782569678551,19457.72,2044500,105074
1782569683553,19473.85,2143603,110076
1782569688554,19478.26,2241500,115077
1782569693556,19491.33,2340500,120079
1782569698557,19507.52,2440000,125080
1782569701777,19485.73,2500000,128299
