timestamp,jobId,taskId,idleTimeNs,kafkaQueueTimeNs,kafkaQueueTimeAvgNs,kafkaQueueTimeMaxNs,kafkaQueueSamples,inputRate,recordsRead
1781922021061,unknown,Stage0-2-0,0,0,-1,0,0,1.13,27
1781922021061,unknown,Stage0-3-0,0,0,-1,0,0,1.13,27
1781922021061,unknown,Stage0-1-0,0,0,-1,0,0,1.05,25
1781922021061,unknown,Stage0-0-0,0,0,-1,0,0,1.05,25
1781922026069,unknown,Stage0-2-0,0,0,127768115,498000000,69,13827.48,69275
1781922026089,unknown,Stage0-0-0,0,0,133710144,518000000,69,13772.47,69273
1781922026130,unknown,Stage0-3-0,0,0,125185714,479000000,70,13993.49,70960
1781922026149,unknown,Stage0-1-0,0,0,121157142,479000000,70,13942.02,70962
1781922031090,unknown,Stage0-2-0,0,0,252223880,684000000,67,13471.82,136917
1781922031129,unknown,Stage0-0-0,0,0,243537313,682000000,67,13420.24,136911
1781922031701,unknown,Stage0-3-0,0,0,236940298,665000000,67,11949.20,137529
1781922031702,unknown,Stage0-1-0,0,0,249014925,733000000,67,11986.49,137523
1781922036701,unknown,Stage0-3-0,0,0,147349206,396000000,63,12500.40,200031
1781922036700,unknown,Stage0-2-0,0,0,158312500,390000000,64,11249.55,200027
1781922036701,unknown,Stage0-0-0,0,0,161531250,408000000,64,11326.99,200025
1781922036702,unknown,Stage0-1-0,0,0,157476190,393000000,63,12526.80,200157
