timestamp,outputRate,totalSent,elapsedMs
1782511101547,16689.85,84000,5033
1782511106551,18332.17,184000,10037
1782511111554,18650.27,280500,15040
1782511116556,18960.18,380000,20042
1782511121559,19005.79,476000,25045
1782511126560,19109.47,574163,30046
1782511131562,19173.70,672000,35048
1782511136564,19216.18,769608,40050
1782511141566,19266.63,868000,45052
1782511146568,19339.11,968000,50054
1782511151570,19325.78,1064000,55056
1782511156572,19372.94,1163500,60058
1782511161573,19367.04,1260000,65059
1782511166575,19404.52,1359500,70061
1782511171577,19397.04,1456000,75063
1782511176578,19428.34,1555511,80064
1782511181580,19426.09,1652500,85066
1782511186581,19452.19,1752000,90067
1782511191583,19475.33,1851500,95069
1782511196584,19471.37,1948500,100070
1782511201586,19486.64,2047500,105072
1782511206587,19491.61,2145500,110073
1782511211589,19500.33,2244000,115075
1782511216590,19516.81,2343500,120076
1782511221592,19519.85,2441504,125078
1782511224768,19492.72,2500000,128253
