timestamp,outputRate,totalSent,elapsedMs
1781980932026,49622.87,250000,5038
1781980937030,49790.88,500000,10042
1781980942033,49850.45,750000,15045
1781980947035,49882.78,1000000,20047
1781980952038,49900.20,1250000,25050
1781980957040,49913.48,1500000,30052
1781980962042,49922.98,1750000,35054
1781980967044,49930.10,2000000,40056
1781980972046,49935.64,2250000,45058
1781980977047,49941.07,2500000,50059
1781980982049,49944.61,2750000,55061
1781980987051,49947.56,3000000,60063
1781980992053,49950.05,3250000,65065
1781980997055,49952.19,3500000,70067
1781981002057,49954.04,3750000,75069
1781981007059,49955.66,4000000,80071
1781981012060,49957.68,4250000,85072
1781981017062,49958.92,4500000,90074
1781981022063,49960.56,4750000,95075
1781981027065,49961.53,5000000,100077
1781981032066,49962.88,5250000,105078
1781981037068,49963.66,5500000,110080
1781981042070,49964.37,5750000,115082
1781981047071,49965.44,6000000,120083
1781981052073,55961.95,7000000,125085
1781981057074,61497.78,8000000,130086
1781981062076,66623.24,9000000,135088
1781981067077,71383.19,10000000,140089
1781981072079,75814.49,11000000,145091
1781981077081,79950.43,12000000,150093
1781981082082,83820.13,13000000,155094
1781981087084,87447.53,14000000,160096
1781981092085,90855.68,15000000,165097
1781981097087,89653.67,15250000,170099
1781981102088,88520.85,15500000,175100
1781981107090,87450.44,15750000,180102
1781981112092,86437.89,16000000,185104
1781981117093,85479.08,16250000,190105
1781981122095,84568.98,16500000,195107
1781981127096,83704.80,16750000,200108
1781981132098,82882.36,17000000,205110
1781981137099,82099.46,17250000,210111
1781981142101,81352.59,17500000,215113
1781981147102,80640.03,17750000,220114
1781981152103,79959.13,18000000,225115
1781981157105,82566.69,19000000,230117
1781981162107,85063.31,20000000,235119
1781981167108,87456.27,21000000,240120
1781981172110,89751.23,22000000,245122
1781981177111,91954.76,23000000,250123
1781981182112,93483.56,23849900,255124
1781981182501,93341.24,23849900,255513
