timestamp_ms,hostname,role,cpu_util,rm_rss_kb,nm_rss_kb,dn_rss_kb,nn_rss_kb,kafka_rss_kb,producer_rss_kb,nemo_rss_kb,reef_rss_kb,vmworker_rss_kb,rx_bytes,tx_bytes,disk_read_bytes,disk_write_bytes
1784137747129,node0,control-producer,0.0155,452892,0,462176,463188,0,0,0,0,0,14585188,14344526,370121216,41385357824
1784137748458,node0,control-producer,0.0134,452892,0,462176,463188,0,0,0,0,0,14585375,14344654,370121216,41385357824
1784137749772,node0,control-producer,0.0114,452892,0,462176,463188,0,0,0,0,0,14585578,14344767,370121216,41385374208
1784137751103,node0,control-producer,0.0064,452892,0,462176,463188,0,0,0,0,0,14585704,14344827,370121216,41385390592
1784137752435,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14585809,14344889,370121216,41386447360
1784137753764,node0,control-producer,0.0065,452892,0,462176,463188,0,0,0,0,0,14585917,14344951,370121216,41386447360
1784137755096,node0,control-producer,0.0064,452892,0,462176,463188,0,0,0,0,0,14586010,14345009,370121216,41386451456
1784137756430,node0,control-producer,0.0084,452892,0,462176,463188,0,0,0,0,0,14586245,14345206,370121216,41386476032
1784137757756,node0,control-producer,0.0069,452892,0,462176,463188,0,0,0,0,0,14586381,14345295,370121216,41387434496
1784137759067,node0,control-producer,0.0061,452892,0,462176,463188,0,0,0,0,0,14586496,14345303,370121216,41387434496
1784137760401,node0,control-producer,0.0133,452892,0,462176,463188,0,0,0,0,0,14586659,14345404,370121216,41387438592
1784137761728,node0,control-producer,0.0116,452892,0,462176,463188,0,0,0,0,0,14586854,14345525,370121216,41387471360
1784137763058,node0,control-producer,0.0125,452892,0,462176,463188,0,0,0,0,0,14587053,14345642,370121216,41387565568
1784137764395,node0,control-producer,0.0119,452892,0,462176,463188,0,0,0,0,0,14587270,14345757,370121216,41388032512
1784137765732,node0,control-producer,0.0122,452892,0,462176,463188,0,0,0,0,0,14587469,14345881,370121216,41388044800
1784137767060,node0,control-producer,0.0116,452892,0,462176,463188,0,0,0,0,0,14587617,14345987,370121216,41388065280
1784137768391,node0,control-producer,0.0122,452892,0,462176,463188,0,0,0,0,0,14587806,14346099,370121216,41388130816
1784137769726,node0,control-producer,0.0122,452892,0,462176,463188,0,0,0,0,0,14588001,14346214,370121216,41388155392
1784137771061,node0,control-producer,0.0122,452892,0,462176,463188,0,0,0,0,0,14588260,14346331,370121216,41388167680
1784137772385,node0,control-producer,0.0130,452892,0,462176,463188,0,0,0,0,0,14588418,14346454,370121216,41388188160
1784137773716,node0,control-producer,0.0125,452892,0,462176,463188,0,0,0,0,0,14588585,14346576,370121216,41388188160
1784137775051,node0,control-producer,0.0119,452892,0,462176,463188,0,0,0,0,0,14588737,14346688,370121216,41388212736
1784137776386,node0,control-producer,0.0144,452892,0,462176,463188,0,0,0,0,0,14588888,14346809,370121216,41388225024
1784137777718,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14589058,14346886,370121216,41388253696
1784137779049,node0,control-producer,0.0063,452892,0,462176,463188,0,0,0,0,0,14589229,14346959,370121216,41388253696
1784137780371,node0,control-producer,0.0062,452892,0,462176,463188,0,0,0,0,0,14589385,14347074,370121216,41388646912
1784137781706,node0,control-producer,0.0068,452892,0,462176,463188,0,0,0,0,0,14589549,14347169,370121216,41389322752
1784137783040,node0,control-producer,0.0074,452892,0,462176,463188,0,0,0,0,0,14589813,14347409,370121216,41389335040
1784137784370,node0,control-producer,0.0075,452892,0,462176,463188,0,0,0,0,0,14590003,14347569,370121216,41389335040
1784137785706,node0,control-producer,0.0079,452892,0,462176,463188,0,0,0,0,0,14590163,14347685,370121216,41389466112
1784137787040,node0,control-producer,0.0068,452892,0,462176,463188,0,0,0,0,0,14590204,14347694,370121216,41391301120
1784137788368,node0,control-producer,0.0133,452892,0,462176,463188,0,0,0,0,0,14590305,14347750,370121216,41391313408
1784137789693,node0,control-producer,0.0178,452892,0,462176,463188,0,0,0,0,0,14590506,14347862,370121216,41391313408
1784137791029,node0,control-producer,0.0179,452892,0,462176,463188,0,0,0,0,0,14590648,14347963,370121216,41391538688
1784137792364,node0,control-producer,0.0173,452892,0,462176,463188,0,0,0,0,0,14590829,14348066,370121216,41391571456
1784137793700,node0,control-producer,0.0175,452892,0,462176,463188,0,0,0,0,0,14590987,14348166,370121216,41391747584
1784137795033,node0,control-producer,0.0172,452892,0,462176,463188,0,0,0,0,0,14591195,14348276,370121216,41391747584
1784137796364,node0,control-producer,0.0178,452892,0,462176,463188,0,0,0,0,0,14591386,14348386,370121216,41391772160
1784137797699,node0,control-producer,0.0116,452892,0,462176,463188,0,0,0,0,0,14591569,14348495,370121216,41392091648
1784137799033,node0,control-producer,0.0066,452892,0,462176,463188,0,0,0,0,0,14591736,14348584,370121216,41392624128
1784137800364,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14591903,14348716,370121216,41394647552
1784137801688,node0,control-producer,0.0061,452892,0,462176,463188,0,0,0,0,0,14592076,14348845,370121216,41394778624
1784137803015,node0,control-producer,0.0066,452892,0,462176,463188,0,0,0,0,0,14592256,14348963,370121216,41394962944
1784137804348,node0,control-producer,0.0075,452892,0,462176,463188,0,0,0,0,0,14592338,14348998,370121216,41395032576
1784137805680,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14592458,14349009,370121216,41395802624
1784137807010,node0,control-producer,0.0098,452892,0,462176,463188,0,0,0,0,0,14592618,14349044,370121216,41395810816
1784137808341,node0,control-producer,0.0164,452892,0,462176,463188,0,0,0,0,0,14592741,14349092,370121216,41395933696
1784137809674,node0,control-producer,0.0162,452892,0,462176,463188,0,0,0,0,0,14592833,14349140,370121216,41395933696
1784137810998,node0,control-producer,0.0173,452892,0,462176,463188,0,0,0,0,0,14592926,14349187,370121216,41395933696
1784137812337,node0,control-producer,0.0210,452892,0,462176,463188,0,0,0,0,0,14593040,14349270,370121216,41395950080
1784137813665,node0,control-producer,0.0178,452892,0,462176,463188,0,0,0,0,0,14593201,14349388,370121216,41396412928
1784137814994,node0,control-producer,0.0171,452892,0,462176,463188,0,0,0,0,0,14593347,14349496,370121216,41396412928
1784137816323,node0,control-producer,0.0172,452892,0,462176,463188,0,0,0,0,0,14593514,14349613,370121216,41396412928
1784137817658,node0,control-producer,0.0190,452892,0,462176,463188,0,0,0,0,0,14593683,14349729,370121216,41397199360
1784137818989,node0,control-producer,0.0181,452892,0,462176,463188,0,0,0,0,0,14593906,14349834,370121216,41397293568
1784137820324,node0,control-producer,0.0181,452892,0,462176,463188,0,0,0,0,0,14594064,14349940,370121216,41397555712
1784137821661,node0,control-producer,0.0182,452892,0,462176,463188,0,0,0,0,0,14594222,14350053,370121216,41397555712
1784137822998,node0,control-producer,0.0183,452892,0,462176,463188,0,0,0,0,0,14594365,14350161,370121216,41397572096
1784137824325,node0,control-producer,0.0191,452892,0,462176,463188,0,0,0,0,0,14594568,14350282,370121216,41397588480
1784137825660,node0,control-producer,0.0185,452892,0,462176,463188,0,0,0,0,0,14594738,14350392,370121216,41397944832
1784137826985,node0,control-producer,0.0182,452892,0,462176,463188,0,0,0,0,0,14594884,14350496,370121216,41397944832
1784137828315,node0,control-producer,0.0203,452892,0,462176,463188,0,0,0,0,0,14595055,14350625,370121216,41397973504
1784137829646,node0,control-producer,0.0068,452892,0,462176,463188,0,0,0,0,0,14595192,14350692,370121216,41397981696
1784137830976,node0,control-producer,0.0064,452892,0,462176,463188,0,0,0,0,0,14595335,14350768,370121216,41398960640
1784137832306,node0,control-producer,0.0062,452892,0,462176,463188,0,0,0,0,0,14595484,14350882,370121216,41398968832
1784137833638,node0,control-producer,0.0133,452892,0,462176,463188,0,0,0,0,0,14595739,14351021,370121216,41399001600
1784137834974,node0,control-producer,0.0067,452892,0,462176,463188,0,0,0,0,0,14595865,14351102,370121216,41399005696
1784137836304,node0,control-producer,0.0110,452892,0,462176,463188,0,0,0,0,0,14596052,14351226,370121216,41400746496
1784137837642,node0,control-producer,0.0084,452892,0,462176,463188,0,0,0,0,0,14596184,14351288,370121216,41400754688
1784137838969,node0,control-producer,0.0066,452892,0,462176,463188,0,0,0,0,0,14596296,14351346,370121216,41400906240
1784137840304,node0,control-producer,0.0064,452892,0,462176,463188,0,0,0,0,0,14596405,14351463,370121216,41400910336
1784137841639,node0,control-producer,0.0064,452892,0,462176,463188,0,0,0,0,0,14596508,14351524,370121216,41401635328
1784137842974,node0,control-producer,0.0062,452892,0,462176,463188,0,0,0,0,0,14596611,14351584,370121216,41401643520
1784137844301,node0,control-producer,0.0061,452892,0,462176,463188,0,0,0,0,0,14596797,14351642,370121216,41401664000
1784137845628,node0,control-producer,0.0086,452892,0,462176,463188,0,0,0,0,0,14597061,14351743,370121216,41401668096
1784137846960,node0,control-producer,0.0064,452892,0,462176,463188,0,0,0,0,0,14597152,14351803,370121216,41401680384
